"","frq","sev","int","comp","rank"
"1",0,0,0,0,7
"2",1,0,0,0,7
"3",1,0,1,1,7
"4",1,0,2,1,7
"5",1,0,3,2,7
"6",1,0,4,2,7
"7",1,1,0,1,7
"8",1,1,1,1,7
"9",1,1,2,1,7
"10",1,1,3,2,7
"11",1,1,4,2,7
"12",1,2,0,1,7
"13",1,2,1,2,7
"14",1,2,2,2,7
"15",1,2,3,2,7
"16",1,2,4,3,7
"17",1,3,0,2,7
"18",1,3,1,2,7
"19",1,3,2,2,7
"20",1,3,3,3,7
"21",1,3,4,3,7
"22",1,4,0,2,7
"23",1,4,1,2,7
"24",1,4,2,3,7
"25",1,4,3,3,7
"26",1,4,4,3,7
"27",2,0,0,0,7
"28",2,0,1,1,7
"29",2,0,2,1,7
"30",2,0,3,2,7
"31",2,0,4,2,7
"32",2,1,0,1,7
"33",2,1,1,1,7
"34",2,1,2,1,7
"35",2,1,3,2,7
"36",2,1,4,2,7
"37",2,2,0,2,7
"38",2,2,1,2,7
"39",2,2,2,2,7
"40",2,2,3,3,7
"41",2,2,4,3,7
"42",2,3,0,2,7
"43",2,3,1,2,7
"44",2,3,2,2,7
"45",2,3,3,3,7
"46",2,3,4,3,7
"47",2,4,0,2,7
"48",2,4,1,2,7
"49",2,4,2,3,7
"50",2,4,3,3,7
"51",2,4,4,3,7
"52",3,0,0,1,7
"53",3,0,1,1,7
"54",3,0,2,1,7
"55",3,0,3,2,7
"56",3,0,4,2,7
"57",3,1,0,1,7
"58",3,1,1,1,7
"59",3,1,2,1,7
"60",3,1,3,2,7
"61",3,1,4,2,7
"62",3,2,0,2,7
"63",3,2,1,2,7
"64",3,2,2,2,7
"65",3,2,3,3,7
"66",3,2,4,3,7
"67",3,3,0,2,7
"68",3,3,1,2,7
"69",3,3,2,3,7
"70",3,3,3,3,7
"71",3,3,4,3,7
"72",3,4,0,2,7
"73",3,4,1,2,7
"74",3,4,2,3,7
"75",3,4,3,3,7
"76",3,4,4,3,7
"77",4,0,0,1,7
"78",4,0,1,1,7
"79",4,0,2,1,7
"80",4,0,3,2,7
"81",4,0,4,2,7
"82",4,1,0,1,7
"83",4,1,1,1,7
"84",4,1,2,2,7
"85",4,1,3,2,7
"86",4,1,4,3,7
"87",4,2,0,2,7
"88",4,2,1,2,7
"89",4,2,2,2,7
"90",4,2,3,3,7
"91",4,2,4,3,7
"92",4,3,0,2,7
"93",4,3,1,2,7
"94",4,3,2,3,7
"95",4,3,3,3,7
"96",4,3,4,3,7
"97",4,4,0,2,7
"98",4,4,1,2,7
"99",4,4,2,3,7
"100",4,4,3,3,7
"101",4,4,4,3,7
"102",0,0,NA,0,4
"103",1,0,NA,1,4
"104",1,1,NA,1,4
"105",1,2,NA,1,4
"106",1,3,NA,2,4
"107",1,4,NA,2,4
"108",2,0,NA,1,4
"109",2,1,NA,1,4
"110",2,2,NA,2,4
"111",2,3,NA,2,4
"112",2,4,NA,2,4
"113",3,0,NA,1,4
"114",3,1,NA,1,4
"115",3,2,NA,2,4
"116",3,3,NA,3,4
"117",3,4,NA,3,4
"118",4,0,NA,1,4
"119",4,1,NA,1,4
"120",4,2,NA,2,4
"121",4,3,NA,3,4
"122",4,4,NA,3,4
"123",NA,0,0,0,6
"124",NA,1,0,1,6
"125",NA,1,1,1,6
"126",NA,1,2,1,6
"127",NA,1,3,2,6
"128",NA,1,4,2,6
"129",NA,2,0,1,6
"130",NA,2,1,1,6
"131",NA,2,2,2,6
"132",NA,2,3,2,6
"133",NA,2,4,3,6
"134",NA,3,0,1,6
"135",NA,3,1,2,6
"136",NA,3,2,2,6
"137",NA,3,3,3,6
"138",NA,3,4,3,6
"139",NA,4,0,2,6
"140",NA,4,1,2,6
"141",NA,4,2,2,6
"142",NA,4,3,3,6
"143",NA,4,4,3,6
"144",0,NA,0,0,5
"145",1,NA,0,1,5
"146",1,NA,1,1,5
"147",1,NA,2,1,5
"148",1,NA,3,2,5
"149",1,NA,4,2,5
"150",2,NA,0,1,5
"151",2,NA,1,1,5
"152",2,NA,2,1,5
"153",2,NA,3,2,5
"154",2,NA,4,2,5
"155",3,NA,0,1,5
"156",3,NA,1,1,5
"157",3,NA,2,2,5
"158",3,NA,3,3,5
"159",3,NA,4,3,5
"160",4,NA,0,1,5
"161",4,NA,1,1,5
"162",4,NA,2,2,5
"163",4,NA,3,3,5
"164",4,NA,4,3,5
"165",0,NA,NA,0,1
"166",1,NA,NA,1,1
"167",2,NA,NA,1,1
"168",3,NA,NA,2,1
"169",4,NA,NA,3,1
"170",NA,0,NA,0,2
"171",NA,1,NA,1,2
"172",NA,2,NA,2,2
"173",NA,3,NA,3,2
"174",NA,4,NA,3,2
"175",NA,NA,0,0,3
"176",NA,NA,1,1,3
"177",NA,NA,2,1,3
"178",NA,NA,3,2,3
"179",NA,NA,4,2,3
